"job_id","job_role","industry","country","year","automation_risk_percent","ai_replacement_score","skill_gap_index","salary_before_usd","salary_after_usd","salary_change_percent","skill_demand_growth_percent","remote_feasibility_score","ai_adoption_level","education_requirement_level","automation_risk_category","skill_transition_pressure","wage_volatility_index","reskilling_urgency_score","ai_disruption_intensity","risk_tier","safe_zone_flag","salary_direction"
0,"Data Analyst","Technology","Canada",2021,"26.22","30.94","73.20","101839.02","99454.42","-2.34","2.66","15.23","86.62",2,"Low","49.71","2.34","33.15","22.7118","Low","Transitional","Declining"
1,"Accountant","Finance","Brazil",2020,"52.08","56.41","2.06","146389.18","139516.59","-4.69","10.43","26.36","18.34",5,"Medium","27.07","4.69","22.86","9.5515","Moderate","Transitional","Declining"
2,"Teacher","Technology","USA",2020,"31.30","31.61","43.19","64947.50","58369.41","-10.13","8.14","36.29","36.64",2,"Medium","37.25","10.13","28.52","11.4683","Low","Transitional","Declining"
3,"Customer Support Rep","Technology","Brazil",2021,"56.92","63.42","19.97","91708.13","86715.70","-5.44","6.11","64.68","17.05",5,"Medium","38.45","5.44","30.39","9.7049","Moderate","Transitional","Declining"
4,"Teacher","Manufacturing","Japan",2024,"14.55","17.17","96.56","127007.68","119379.11","-6.01","2.08","71.58","44.02",3,"Low","55.56","6.01","36.59","6.4049","Low","Transitional","Declining"
5,"Software Engineer","Healthcare","Singapore",2022,"8.54","8.53","3.44","139118.45","150561.57","8.23","-7.21","38.05","52.01",3,"Low","5.99","8.23","6.92","4.4417","Low","Transitional","Growing"
6,"Accountant","Manufacturing","Australia",2020,"48.27","42.18","96.96","123015.94","132100.25","7.38","6.71","17.96","19.60",1,"Medium","72.62","7.38","50.61","9.4609","Moderate","Transitional","Growing"
7,"Teacher","Finance","Australia",2026,"13.17","12.25","38.87","62561.88","59680.04","-4.61","15.57","35.28","54.27",3,"Low","26.02","4.61","18.31","7.1474","Low","Transitional","Declining"
8,"Marketing Specialist","Retail","USA",2025,"19.86","22.27","7.46","148426.43","138379.12","-6.77","11.12","10.50","81.55",4,"Low","13.66","6.77","12.21","16.1958","Low","Transitional","Declining"
9,"Financial Analyst","Finance","Singapore",2020,"59.48","64.93","77.13","38885.36","35622.03","-8.39","1.91","87.68","62.33",5,"Medium","68.30","8.39","49.45","37.0739","Moderate","Transitional","Declining"
